Search Term,Term Rank by Revenue,Term Rank by Visits,Token Count in Search Term,Visits,Product Views,Conversion Rate,Average Order Value (AOV),Revenue,Visits - Views,Revenue / Visitor,,revenue percentile
belt bag,1,1,2,1742024,2309394,15.02%,$47.93,"$12,485,038.56","-567,370",$10.59,4.75%,95.25%
scuba,2,2,1,905345,1079331,7.99%,$117.71,"$8,433,488.09","-173,986",$14.64,3.21%,92.05%
shorts,6,3,1,572888,1010501,4.54%,$81.08,"$2,093,359.94","-437,613",$5.01,1.88%,90.17%
define jacket,4,4,2,462670,597217,6.62%,$117.24,"$3,566,816.44","-134,547",$10.66,1.36%,88.81%
sale,16,10,1,234510,562173,7.26%,$72.95,"$1,233,613.01","-327,663",$7.71,0.67%,84.25%
align,3,5,1,417267,557685,11.58%,$103.69,"$4,948,056.73","-140,418",$15.60,0.95%,87.86%
leggings,5,6,1,351252,512267,6.79%,$106.16,"$2,511,427.32","-161,015",$8.69,0.80%,87.06%
swiftly,11,7,1,296633,418426,7.08%,$76.54,"$1,591,910.14","-121,793",$8.87,0.79%,86.27%
backpack,9,8,1,240073,408052,7.52%,$98.05,"$1,760,761.90","-167,979",$10.27,0.68%,85.59%
