Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
wunder under,Collections,"wunder under high-rise tight 25"" *full-on luxtreme",64,6.35%,$198.65
"25""",Inseam,"wunder under high-rise tight 25"" *full-on luxtreme",64,6.35%,$198.65
tennis,Activity,pace rival tennis skirt,56,21.82%,"$1,273.50"
polo shirts,Category,polo shirts women,45,20.45%,$865.00
shirts,Category,polo shirts women,45,20.45%,$865.00
women,Category,polo shirts women,45,20.45%,$865.00
red,Color Family,red lulu shorts,56,3.57%,$136.00
shorts,Category,red lulu shorts,56,3.57%,$136.00
belt bags,Attribute,sale belt bags,306,35.62%,"$4,250.45"
bags,Category,sale belt bags,306,35.62%,"$4,250.45"
shorts,Category,shorts lip gloss,48,6.25%,$196.40
lip gloss,Color name,shorts lip gloss,48,6.25%,$196.40
smoked spruce,Color name,smoked spruce leggings,52,7.69%,$354.00
leggings,Category,smoked spruce leggings,52,7.69%,$354.00
solar orange,Color name,solar orange top,38,2.70%,$44.00
orange,Color Family,solar orange top,38,2.70%,$44.00
tennis,Activity,stretch tennis jacket,55,7.84%,$663.60
short,Length,fast and free reflective high-rise classic-fit short,185,6.56%,$932.60
swiftly,Collections,swiftly tech relax,70,11.94%,$657.30
yoga,Activity,thick yoga mat,56,8.93%,$468.90
twilight rose,Color name,twilight rose top,48,10.87%,$333.00
rose,Color Family,twilight rose top,48,10.87%,$333.00
skirts,Category,we made to much skirts,44,2.27%,$39.00
short,Length,"fast and free high-rise short 2"" airflow",45,6.67%,$226.00
"2""",Inseam,"fast and free high-rise short 2"" airflow",45,6.67%,$226.00
white,Color name,white long sleeve top,76,12.16%,$653.00
long,Length,white long sleeve top,76,12.16%,$653.00
white,Color name,white mens shirt,71,20.29%,"$1,103.00"
pants,Category,wide leg pants women,74,10.81%,$905.80
women,Category,wide leg pants women,74,10.81%,$905.80
shirts,Category,woman’s t shirts,44,6.98%,$240.00
women,Category,women powder blue,23,0.00%,$0.00
powder blue,Color name,women powder blue,23,0.00%,$0.00
blue,Color Family,women powder blue,23,0.00%,$0.00
black,Color name,women’s black top,52,10.20%,$363.60
wunder train,Collections,wunder train dark oxide,35,11.43%,$228.00
dark oxide,Color name,wunder train dark oxide,35,11.43%,$228.00
wunder train,Collections,wunder train he,44,7.14%,$447.00
wunder train,Collections,wunder train long line,83,16.25%,$569.35
long,Length,wunder train long line,83,16.25%,$569.35
align,Collections,align waist-length tank top,74,38.36%,"$1,035.90"
everywhere,Collections,athletica everywhere belt bag,81,25.93%,$868.80
black,Color name,black high waisted shorts,29,6.90%,$119.00
shorts,Category,black high waisted shorts,29,6.90%,$119.00
bone,Color name,bone shorts women,48,19.15%,$615.80
shorts,Category,bone shorts women,48,19.15%,$615.80
women,Category,bone shorts women,48,19.15%,$615.80
shorts,Category,camo shorts women,43,0.00%,$0.00
women,Category,camo shorts women,43,0.00%,$0.00
white,Color name,cheetah camo antique white,52,7.69%,$239.00
long,Length,classic fit long,93,13.48%,"$1,125.30"
Scuba,Collections,Scuba mid-rise,219,46.12%,"$12,129.30"
everywhere,Collections,clear everywhere belt bag,63,12.70%,$327.20
commission,Collections,commission slim 32,64,20.63%,"$2,180.40"
32,Size,commission slim 32,64,20.63%,"$2,180.40"
cropped,Length,cropped define mesh jacket nulu,61,20.00%,"$2,407.00"
define,Collections,cropped define mesh jacket nulu,61,20.00%,"$2,407.00"
espresso,Color name,espresso softstreme,154,12.84%,"$2,269.55"
pants,Category,velvet pants,152,19.73%,"$3,686.90"
full,Size,swift wide-leg mid rise pant full length,32,6.67%,$256.00
align,Collections,align olive,98,17.71%,"$1,745.60"
olive,Color Family,align olive,98,17.71%,"$1,745.60"
purple,Color Family,purple hoodie,96,7.53%,$720.80
navy,Color Family,navy legg,90,8.89%,$962.00
grey,Color Family,grey tie dye,53,1.89%,$69.00
Black,Color name,Black alig,87,5.75%,$435.50
hotty hot,Collections,high rise 2.5 hotty hot,57,1.75%,$68.00
define,Collections,hooded define nulu,75,12.50%,"$1,132.80"
hoodies,Attribute,hoodies for men,85,12.50%,"$1,118.00"
men,Gender,hoodies for men,85,12.50%,"$1,118.00"
pink,Color Family,hot pink short,57,8.77%,$321.00
short,Length,hot pink short,57,8.77%,$321.00
short,Length,hotly hot short,47,12.77%,$387.60
dance,Activity,jogger dance,75,15.07%,"$1,024.10"
25,Size,hotty hots low rise 25,50,6.00%,$272.00
commission,Collections,commission woven,74,5.56%,$512.00
speed up,Collections,hr speed up,56,7.14%,$476.00
Black,Color name,Black bac,73,10.96%,$684.80
Red,Color Family,Red sho,73,1.39%,$68.00
invigorate,Collections,invigorate hr tight,63,7.94%,$334.00
sweatpants,Category,woman sweatpants,72,6.94%,$600.00
blue,Color Family,power blue,67,2.99%,$107.00
shoes,Category,walking shoes,66,0.00%,$0.00
shorts,Category,shorts speed,62,11.29%,$605.20
define,Collections,define jaxket,60,1.67%,$118.00
groove,Collections,groove hr,60,11.67%,$873.80
pants,Category,sweet pants,60,8.47%,$827.00
like a cloud,Collections,like a cloud a/b,84,7.14%,$337.00
lilac smoke,Color name,lilac smoke sports bra,48,12.50%,$406.50
leggings,Category,mint leggings,58,5.17%,$168.15
long,Length,long sleeve swifty tech,83,9.64%,$592.80
Short,Length,"Short 5""",56,5.45%,$255.00
"5""",Inseam,"Short 5""",56,5.45%,$255.00
love,Collections,love tee shirt,68,11.76%,$706.00
shorts,Category,low rise lined shorts,54,14.81%,$515.00
shorts,Category,low waisted shorts,50,4.08%,$136.00
align,Collections,lululemon align legging,66,12.31%,$809.50
leggings,Category,run leggings,53,7.69%,$394.00
brown,Color Family,brown biker,52,5.77%,$245.00
women,Category,women bike,52,2.00%,$54.40
bike,Activity,women bike,52,2.00%,$54.40
pink,Color Family,men’s pink shirt,54,12.96%,$508.15
yoga,Activity,modal-silk yoga tank,60,15.00%,$398.15
pace breaker,Collections,pace breaker short 5”,54,24.53%,$971.80
short,Length,pace breaker short 5”,54,24.53%,$971.80
Pants,Category,Pants women sale,30,3.33%,$49.00
women,Category,Pants women sale,30,3.33%,$49.00
power pivot,Collections,power pivot everlux tank top,76,18.42%,$532.90
ready to rulu,Collections,ready to rulu hr,56,9.09%,$594.00
pants,Category,ribbed softstreme pants,85,8.86%,"$1,213.00"
running,Activity,running fanny pack,61,19.67%,$446.50
tennis,Activity,sale tennis skirt,55,16.98%,$625.15
sculpt,Collections,sculpt short sleeve,577,39.03%,"$20,179.70"
short,Length,sculpt short sleeve,577,39.03%,"$20,179.70"
shoes,Category,slip on shoes,83,25.30%,"$1,432.60"
sonic pink,Color name,sonic pink al,62,0.00%,$0.00
pink,Color Family,sonic pink al,62,0.00%,$0.00
sonic pink,Color name,sonic pink dance studio,62,3.23%,$354.00
pink,Color Family,sonic pink dance studio,62,3.23%,$354.00
dance,Activity,sonic pink dance studio,62,3.23%,$354.00
dance studio,Collections,sonic pink dance studio,62,3.23%,$354.00
swiftly,Collections,swiftly shirt sale,58,19.30%,$452.00
swiftly,Collections,swiftly tech lipgloss,59,3.39%,$136.00
swiftly,Collections,swiftly tech long sleeve cropped,95,11.58%,$818.30
long,Length,swiftly tech long sleeve cropped,95,11.58%,$818.30
cropped,Length,swiftly tech long sleeve cropped,95,11.58%,$818.30
swiftly,Collections,swiftly tech short 2.0,59,18.64%,"$1,064.00"
short,Length,swiftly tech short 2.0,59,18.64%,"$1,064.00"
tennis,Activity,tennis skirt tall,46,17.78%,$492.65
tidal teal,Color name,tidal teal tank,45,13.33%,$325.00
tank tops,Category,tight tank tops,63,1.59%,$68.00
underwear,Category,"underease super-high-rise shortie underwear 5""",74,17.57%,$485.20
"5""",Inseam,"underease super-high-rise shortie underwear 5""",74,17.57%,$485.20
free to be,Collections,free to be longline bra - wild light support,45,6.67%,$136.00
leggings,Category,winder under leggings,71,4.29%,$294.00
tennis,Activity,lightweight tennis mid-rise track pant full length,30,6.67%,$256.00
full,Size,lightweight tennis mid-rise track pant full length,30,6.67%,$256.00
cropped,Length,women’s cropped jacket,36,5.56%,$346.00
running,Activity,women’s running shirt,49,14.29%,$424.00
sweat shorts,Attribute,women’s sweat shorts,57,1.75%,$68.00
shorts,Category,women’s sweat shorts,57,1.75%,$68.00
wunder train,Collections,wunder train 8”,50,8.16%,$384.00
wunder train,Collections,wunder train high rise 23,72,32.39%,"$2,045.45"
8,Size,8 inch biker shorts,41,9.76%,$216.00
shorts,Category,8 inch biker shorts,41,9.76%,$216.00
abc,Collections,abc commission pants,50,20.41%,"$1,173.80"
commission,Collections,abc commission pants,50,20.41%,"$1,173.80"
pants,Category,abc commission pants,50,20.41%,"$1,173.80"
abc,Collections,"abc slim-fit pant 32"" *utilitech",58,41.07%,"$2,971.10"
"32""",Inseam,"abc slim-fit pant 32"" *utilitech",58,41.07%,"$2,971.10"
abc,Collections,"abc slim-fit pant 34"" *warpstreme",54,23.53%,"$1,618.00"
"34""",Inseam,"abc slim-fit pant 34"" *warpstreme",54,23.53%,"$1,618.00"
align,Collections,align 8” shorts,30,10.00%,$122.00
shorts,Category,align 8” shorts,30,10.00%,$122.00
align,Collections,align high rise pants 25,122,45.76%,"$5,156.30"
pants,Category,align high rise pants 25,122,45.76%,"$5,156.30"
25,Size,align high rise pants 25,122,45.76%,"$5,156.30"
align,Collections,align legging black,95,20.65%,"$1,915.40"
black,Color name,align legging black,95,20.65%,"$1,915.40"
align,Collections,align pocket sale,39,5.13%,$214.80
align,Collections,align tank purple,67,13.43%,$390.00
purple,Color Family,align tank purple,67,13.43%,$390.00
align,Collections,align ultra high,87,6.90%,$539.30
black,Color name,black bike short,39,7.89%,$192.00
bike,Activity,black bike short,39,7.89%,$192.00
short,Length,black bike short,39,7.89%,$192.00
black,Color name,black tee shirt,65,16.92%,$800.00
women,Category,bucket hat women,47,8.51%,$280.00
commission,Collections,"commission slim-fit pant 34"" *warpstreme",66,31.75%,"$2,267.80"
"34""",Inseam,"commission slim-fit pant 34"" *warpstreme",66,31.75%,"$2,267.80"
cool racerback,Collections,cool racerback tank top,54,0.00%,$0.00
dance,Activity,dance studio midrise pant,397,41.41%,"$20,433.85"
dance studio,Collections,dance studio midrise pant,397,41.41%,"$20,433.85"
Dance,Activity,Dance studio pa,90,7.95%,$826.00
Dance studio,Collections,Dance studio pa,90,7.95%,$826.00
dark forest,Color name,dark forest sports bra,102,11.76%,$642.20
espresso,Color name,womens espresso,139,13.97%,"$2,359.30"
ebb to street,Collections,ebb to street long-sleeve shirt,71,14.71%,$703.45
espresso,Color name,espresso long sleeve,154,19.46%,"$2,044.35"
long,Length,espresso long sleeve,154,19.46%,"$2,044.35"
pants,Category,fleece lined pants,108,22.33%,"$3,820.90"
full,Size,full length scuba,86,4.65%,$442.50
scuba,Collections,full length scuba,86,4.65%,$442.50
full,Size,full zip cropped,90,20.22%,"$2,197.60"
cropped,Length,full zip cropped,90,20.22%,"$2,197.60"
define,Collections,define bone,91,18.18%,"$1,690.70"
bone,Color name,define bone,91,18.18%,"$1,690.70"
groove,Collections,groove flare pants,107,14.02%,"$1,521.00"
pants,Category,groove flare pants,107,14.02%,"$1,521.00"
bags,Category,crossover bags,83,13.41%,$499.30
hiking,Activity,high rise hiking,47,4.55%,$134.45
hotty hot,Collections,"hotty hot 2.5""",49,10.20%,$469.20
"2.5""",Inseam,"hotty hot 2.5""",49,10.20%,$469.20
hotty hot,Collections,hotty hot low rised,45,6.67%,$166.00
hotty hot,Collections,hotty hot sk,70,1.43%,$49.00
hotty hot,Collections,hotty hot white shorts,48,4.17%,$125.80
white,Color name,hotty hot white shorts,48,4.17%,$125.80
shorts,Category,hotty hot white shorts,48,4.17%,$125.80
travel,Size,womens travel,72,5.63%,$233.00
leggings,Category,wide leggings,68,2.99%,$203.65
commission,Collections,commission warpstream,67,18.18%,"$2,063.00"
green,Color Family,green forest,67,8.96%,$350.00
white,Color name,white sh,65,3.08%,$132.00
tights,Category,compression tights,64,6.25%,$510.00
speed up,Collections,speed up hr 4 inch short,15,6.67%,$57.80
4,Size,speed up hr 4 inch short,15,6.67%,$57.80
short,Length,speed up hr 4 inch short,15,6.67%,$57.80
pink,Color Family,light pink top,53,0.00%,$0.00
golf,Activity,ladies golf,59,13.56%,$749.00
long,Length,long sleeve half zip,60,3.45%,$211.50
long,Length,long sleeve tops for women,53,9.80%,$380.00
women,Category,long sleeve tops for women,53,9.80%,$380.00
long,Length,long sleeve women’s shirt,57,3.57%,$137.00
love,Collections,love crewneck tshirt,121,36.21%,"$2,156.40"
pink,Color Family,women’s pink,55,0.00%,$0.00
align,Collections,lululemon align 28,87,21.95%,"$2,116.80"
28,Size,lululemon align 28,87,21.95%,"$2,116.80"
short,Length,lululemon align™ high-rise short 8,40,10.00%,$320.40
8,Size,lululemon align™ high-rise short 8,40,10.00%,$320.40
magenta purple,Color name,magenta purple bra,56,1.79%,$49.00
purple,Color Family,magenta purple bra,56,1.79%,$49.00
green,Color Family,women’s green,51,4.08%,$133.30
short,Length,lululemon short,50,6.00%,$253.60
red,Color Family,red coats,50,4.00%,$328.00
men,Gender,men full zip,68,10.45%,$897.65
full,Size,men full zip,68,10.45%,$897.65
bags,Category,women's bags,49,14.29%,$396.00
9,Size,men’s 9 inch shorts,40,17.95%,$526.00
shorts,Category,men’s 9 inch shorts,40,17.95%,$526.00
black,Color name,men’s black joggers,48,14.89%,$866.00
joggers,Category,men’s black joggers,48,14.89%,$866.00
navy,Color Family,women’s navy,46,6.52%,$452.00
swimsuits,Category,women’s swimsuits,46,0.00%,$0.00
metal vent tech,Collections,metal vent tech half zip,79,16.00%,$922.30
mini,Length,mini flare 32,59,13.79%,$944.00
32,Size,mini flare 32,59,13.79%,$944.00
rose,Color Family,rose leggings,41,10.00%,$476.45
leggings,Category,rose leggings,41,10.00%,$476.45
navy,Color Family,navy top women,41,2.44%,$59.00
women,Category,navy top women,41,2.44%,$59.00
powder blue,Color name,powder blue swiftly tech,59,3.39%,$115.00
blue,Color Family,powder blue swiftly tech,59,3.39%,$115.00
swiftly,Collections,powder blue swiftly tech,59,3.39%,$115.00
shirts,Category,sale t shirts,40,22.50%,$439.00
scuba,Collections,scuba 1/4 zip,76,13.33%,"$1,445.50"
scuba,Collections,scuba hoodie plush,282,47.13%,"$16,196.95"
short,Length,short for men,44,9.09%,$291.30
men,Gender,short for men,44,9.09%,$291.30
short,Length,short sleeve race,63,11.11%,$438.00
shorts,Category,size zero shorts,36,0.00%,$0.00
short,Length,softstream hr short,67,20.00%,$944.80
sonic pink,Color name,sonic pink speed,70,2.86%,$136.00
pink,Color Family,sonic pink speed,70,2.86%,$136.00
tennis,Activity,tennis skirts sale,46,13.33%,$369.15
skirts,Category,tennis skirts sale,46,13.33%,$369.15
tennis,Activity,tiered pleats high-rise tennis skirt,63,14.29%,$874.15
long,Length,tight fit long sleeve,108,10.48%,$769.60
white,Color name,white align pants,46,6.67%,$413.00
align,Collections,white align pants,46,6.67%,$413.00
pants,Category,white align pants,46,6.67%,$413.00
white,Color name,white button down,71,11.94%,"$1,262.60"
white,Color name,white camp leggings,57,3.57%,$147.00
leggings,Category,white camp leggings,57,3.57%,$147.00
white,Color name,white sped ups,50,4.00%,$136.00
joggers,Category,wide leg joggers,80,8.86%,$906.00
women,Category,women shorts 4,47,19.15%,$827.65
shorts,Category,women shorts 4,47,19.15%,$827.65
4,Size,women shorts 4,47,19.15%,$827.65
shorts,Category,women’s camo shorts,39,2.63%,$49.00
scuba,Collections,women’s scuba hoodie,62,14.75%,"$1,250.00"
polo shirts,Category,womens polo shirts,63,17.74%,$891.30
shirts,Category,womens polo shirts,63,17.74%,$891.30
4,Size,4 in biker shorts,46,13.04%,$384.00
shorts,Category,4 in biker shorts,46,13.04%,$384.00
4,Size,4 inch biker short,58,1.75%,$64.00
short,Length,4 inch biker short,58,1.75%,$64.00
align,Collections,align c d,66,7.69%,$364.15
align,Collections,align high rise leggings pink,42,0.00%,$0.00
leggings,Category,align high rise leggings pink,42,0.00%,$0.00
pink,Color Family,align high rise leggings pink,42,0.00%,$0.00
align,Collections,align tank high,70,7.14%,$314.20
align,Collections,align wide crop,52,5.77%,$354.00
always in motion,Collections,always in motion boxer 5,184,45.98%,"$7,345.60"
5,Size,always in motion boxer 5,184,45.98%,"$7,345.60"
shorts,Category,biker shorts 6 inch,50,12.00%,$359.00
6,Size,biker shorts 6 inch,50,12.00%,$359.00
shorts,Category,both hot shorts,50,2.08%,$49.00
shorts,Category,cinch waist shorts,60,16.95%,"$1,127.00"
like a cloud,Collections,like a cloud ribbed longline bra light support b/c cup,16,6.67%,$68.00
commission,Collections,"commission slim-fit pant 32"" warpstreme",62,32.79%,"$2,385.35"
"32""",Inseam,"commission slim-fit pant 32"" warpstreme",62,32.79%,"$2,385.35"
dance,Activity,dance studio pants women,64,9.52%,$736.00
dance studio,Collections,dance studio pants women,64,9.52%,$736.00
pants,Category,dance studio pants women,64,9.52%,$736.00
women,Category,dance studio pants women,64,9.52%,$736.00
dark olive,Color name,dark olive top,62,4.92%,$226.00
olive,Color Family,dark olive top,62,4.92%,$226.00
define,Collections,define cropped half zip,144,18.57%,"$1,912.10"
cropped,Length,define cropped half zip,144,18.57%,"$1,912.10"
define,Collections,define tank top,50,8.00%,$282.00
enlite,Collections,enlite weave-back bra *high support,50,16.00%,$467.30
tennis,Activity,everlux asymmetrical tennis tank,71,10.00%,$483.65
nomad,Color name,nomad women,118,11.21%,"$1,611.70"
women,Category,nomad women,118,11.21%,"$1,611.70"
hiking,Activity,fleece hiking,105,17.82%,"$1,596.95"
full,Size,full length tank,68,7.35%,$320.00
25,Size,wundertrain 25,90,12.64%,"$1,264.40"
pink,Color Family,pink long,89,17.05%,"$1,300.30"
long,Length,pink long,89,17.05%,"$1,300.30"
yoga,Activity,ribbed nulu high-neck yoga bra light support,15,6.67%,$68.00
align,Collections,align stra,85,12.94%,$855.60
leggings,Category,thick leggings,84,7.32%,$868.00
shorts,Category,high rise shorts sale,37,2.70%,$49.00
9,Size,mens 9,77,32.47%,"$2,373.60"
yoga,Activity,Ribbed modal silk twist back yoga,15,6.67%,$64.00
hotty hot,Collections,hotty hot size 0,55,1.85%,$57.80
0,Size,hotty hot size 0,55,1.85%,$57.80
2,Size,2 shorts,73,4.17%,$177.00
shorts,Category,2 shorts,73,4.17%,$177.00
Tennis,Activity,Tennis shoe,73,1.39%,$158.00
dance,Activity,dance top,72,4.17%,$174.80
green,Color Family,sage green,70,8.57%,$406.00
black,Color name,black sweaters,65,3.17%,$168.00
sweaters,Category,black sweaters,65,3.17%,$168.00
commission,Collections,commission warp,65,17.19%,"$1,402.80"
pants,Category,skinny pants,65,1.54%,$128.00
align,Collections,forest align,63,14.52%,$885.80
tennis,Activity,tennis skit,61,4.92%,$205.00
sculpt,Collections,sculpt ta,60,13.56%,$581.00
running,Activity,lightweight trail running t-shirt,71,14.71%,$633.90
Lip gloss,Color name,Lip gloss hott,68,4.41%,$239.40
swiftly,Collections,lipgloss swiftly tech,65,1.54%,$58.00
long,Length,long rival skirt,46,4.35%,$108.00
25,Size,tight 25,57,21.82%,"$1,268.00"
long,Length,long sleeve tees,78,19.48%,"$1,372.20"
long,Length,long sleve shirt,81,3.75%,$206.15
sweatpants,Category,camo sweatpants,56,3.57%,$195.15
short,Length,legging short,55,3.70%,$216.00
blue,Color Family,nile blue,55,7.27%,$259.80
align,Collections,lululemon align hr pant 25,89,24.14%,"$2,620.80"
25,Size,lululemon align hr pant 25,89,24.14%,"$2,620.80"
men,Gender,men button up,52,12.00%,$786.00
10,Size,10 shorts,49,12.24%,$389.95
shorts,Category,10 shorts,49,12.24%,$389.95
women,Category,windbreaker women,47,8.51%,$464.00
shorts,Category,meadowsweet shorts,45,6.82%,$165.80
long,Length,mens long sleeve polo,91,25.00%,"$2,533.90"
align,Collections,align ahorts,43,2.38%,$64.00
blue,Color Family,hawiian blue,43,6.98%,$176.00
women,Category,women tight,40,2.56%,$117.30
groove,Collections,groove hr split hem flare nulu,15,6.67%,$118.00
orange,Color Family,orange long sleeve,62,3.33%,$103.00
long,Length,orange long sleeve,62,3.33%,$103.00
pipe dream blue,Color name,pipe dream blue bra,83,11.11%,$424.00
blue,Color Family,pipe dream blue bra,83,11.11%,$424.00
short,Length,quick dry short sleeve,114,40.00%,"$2,679.15"
red,Color Family,red shirt women,46,13.04%,$407.30
women,Category,red shirt women,46,13.04%,$407.30
Short,Length,Relaxed-Fit Super-High-Rise Cargo Short,58,1.72%,$79.00
training,Activity,training bras,28,0.00%,$0.00
short,Length,short sleeve nulu,70,12.86%,$573.60
shorts,Category,shorts 3 inch,53,5.66%,$341.00
silver drop,Color name,silver drop belt bag,70,30.43%,$925.30
surge,Collections,surge warm tight,89,31.33%,"$2,501.80"
Swiftly,Collections,Swiftly tech s,90,25.00%,"$1,557.20"
s,Size,Swiftly tech s,90,25.00%,"$1,557.20"
white,Color name,white align jacket,87,8.14%,$808.30
align,Collections,white align jacket,87,8.14%,$808.30
white,Color name,white align short,55,5.77%,$169.65
align,Collections,white align short,55,5.77%,$169.65
short,Length,white align short,55,5.77%,$169.65
white,Color name,white running shorts,63,6.35%,$390.00
running,Activity,white running shorts,63,6.35%,$390.00
shorts,Category,white running shorts,63,6.35%,$390.00
tank tops,Category,woman tank tops,59,6.90%,$188.00
tank tops,Category,womans tank tops,75,5.41%,$270.00
women,Category,women golf skirt,49,4.08%,$127.20
golf,Activity,women golf skirt,49,4.08%,$127.20
women,Category,women high rise short,43,9.52%,$334.40
short,Length,women high rise short,43,9.52%,$334.40
women,Category,women shorts 5,43,11.63%,$378.80
shorts,Category,women shorts 5,43,11.63%,$378.80
5,Size,women shorts 5,43,11.63%,$378.80
women,Category,women utility blue,31,10.00%,$145.00
utility blue,Color name,women utility blue,31,10.00%,$145.00
blue,Color Family,women utility blue,31,10.00%,$145.00
golf,Activity,women’s golf skirts,34,11.76%,$342.00
skirts,Category,women’s golf skirts,34,11.76%,$342.00
navy,Color Family,women’s navy shorts,42,9.52%,$397.80
shorts,Category,women’s navy shorts,42,9.52%,$397.80
swim,Activity,women’s swim shorts,45,2.22%,$136.00
shorts,Category,women’s swim shorts,45,2.22%,$136.00
white,Color name,women’s white jacket,44,14.29%,$876.00
long,Length,womens long sleeve tops,141,19.42%,"$2,730.30"
shorts,Category,womens tight shorts,43,4.65%,$128.00
tennis,Activity,lightweight tennis mid-rise track pants *full length,29,6.90%,$256.00
pants,Category,lightweight tennis mid-rise track pants *full length,29,6.90%,$256.00
yoga,Activity,yoga shorts with pockets,29,14.29%,$592.00
shorts,Category,yoga shorts with pockets,29,14.29%,$592.00
align,Collections,align legging 21,56,16.36%,$820.80
belt bags,Attribute,all belt bags,48,8.33%,$182.00
bags,Category,all belt bags,48,8.33%,$182.00
all yours,Collections,all yours crop tee,71,10.00%,$328.80
base pace,Collections,base pace 6,59,6.78%,$235.00
6,Size,base pace 6,59,6.78%,$235.00
sinatra blue,Color name,sinatra blue,573,12.23%,"$5,806.50"
blue,Color Family,sinatra blue,573,12.23%,"$5,806.50"
black,Color name,black zip up jacket,75,9.33%,$826.00
hotty hot,Collections,hotty hot lr short 4 lined,43,6.98%,$186.00
short,Length,hotty hot lr short 4 lined,43,6.98%,$186.00
4,Size,hotty hot lr short 4 lined,43,6.98%,$186.00
shirts,Category,collared shirts women,46,4.35%,$136.50
women,Category,collared shirts women,46,4.35%,$136.50
dark red,Color name,dark red legging,40,7.69%,$345.00
red,Color Family,dark red legging,40,7.69%,$345.00
define,Collections,define jacket bone,116,14.78%,"$1,908.50"
bone,Color name,define jacket bone,116,14.78%,"$1,908.50"
define,Collections,define jacket kids,68,1.47%,$118.00
define,Collections,define jacket l,132,33.33%,"$4,790.80"
l,Size,define jacket l,132,33.33%,"$4,790.80"
enlite,Collections,enlite weave-back bra high support,48,25.00%,$749.30
2,Size,fast and free 2 inch,54,3.70%,$177.00
we made too much,Category,we made too much sports bras,57,7.02%,$131.00
sports bras,Category,we made too much sports bras,57,7.02%,$131.00
leggings,Category,flare leggings with pockets,58,1.72%,$118.00
license to train,Collections,license to train short 7” ll,15,7.14%,$88.00
short,Length,license to train short 7” ll,15,7.14%,$88.00
flush pink,Color name,flush pink legging,51,10.20%,$348.95
pink,Color Family,flush pink legging,51,10.20%,$348.95
pink,Color Family,pink wat,103,5.83%,$270.00
grey,Color Family,grey short sleeve shirt,63,7.94%,$340.00
short,Length,grey short sleeve shirt,63,7.94%,$340.00
white,Color name,white backpack,86,2.35%,$172.30
golf,Activity,half zip golf,61,10.17%,$609.00
Restfeel,Collections,Restfeel womens,84,21.69%,"$1,001.50"
full,Size,oversized full,80,15.19%,"$1,479.20"
hold tight,Collections,hold tight cropped tshirt,139,28.36%,"$1,761.00"
cropped,Length,hold tight cropped tshirt,139,28.36%,"$1,761.00"
swiftly,Collections,swiftly dress,76,16.00%,"$1,119.15"
hotty hot,Collections,hotty hot high rise 2,64,6.25%,$340.00
2,Size,hotty hot high rise 2,64,6.25%,$340.00
tennis,Activity,lightweight tennis mid rise track pants,14,7.14%,$384.00
pants,Category,lightweight tennis mid rise track pants,14,7.14%,$384.00
l,Size,1 l,73,23.29%,$836.00
swiftly,Collections,lululemon swiftly,72,4.17%,$234.00
rose,Color Family,rose gold,72,10.00%,$317.30
yellow,Color Family,yellow swiftly,72,8.33%,$366.95
swiftly,Collections,yellow swiftly,72,8.33%,$366.95
Pink,Color Family,Pink s,70,7.14%,$492.30
s,Size,Pink s,70,7.14%,$492.30
underwear,Category,ladies underwear,67,31.82%,"$1,326.00"
hiking,Activity,waterproof hiking,63,5.08%,$586.00
license to train,Collections,license to train relax,99,33.33%,"$2,934.70"
women,Category,women cardigan,61,8.20%,$423.00
surge,Collections,surge hoodie,60,11.86%,$565.55
underwear,Category,woman’s underwear,58,8.62%,$248.00
align,Collections,align a/b,54,9.26%,$257.00
align,Collections,lululemon align pant 25 pockets,48,16.67%,$894.80
25,Size,lululemon align pant 25 pockets,48,16.67%,$894.80
everywhere,Collections,lululemon everywhere belt bag 1l,81,18.52%,"$1,169.50"
black,Color name,black racerback,53,0.00%,$0.00
orange,Color Family,orange hoodie,51,0.00%,$0.00
black,Color name,mens black shirt,81,17.28%,"$1,229.00"
leggings,Category,pastel leggings,43,6.98%,$137.00
training,Activity,training short,43,7.14%,$161.00
short,Length,training short,43,7.14%,$161.00
purple,Color Family,women’s purple,40,7.50%,$253.45
align,Collections,align sales,37,5.56%,$63.65
align,Collections,reversible align bra,57,3.57%,$53.65
hotty hot,Collections,sale hotty hot shorts,41,4.88%,$88.00
shorts,Category,sale hotty hot shorts,41,4.88%,$88.00
women,Category,sale women pants,47,14.89%,$469.15
pants,Category,sale women pants,47,14.89%,$469.15
scuba,Collections,scuba french terry,66,9.09%,$573.30
sculpt,Collections,sculpt crop tank top,52,33.33%,"$1,223.80"
short,Length,short women sale,27,0.00%,$0.00
women,Category,short women sale,27,0.00%,$0.00
shorts,Category,shorts women high rise,35,5.71%,$136.00
women,Category,shorts women high rise,35,5.71%,$136.00
Soft Jersey,Collections,Soft Jersey Classic-Fit Mid-Rise Jogger,184,33.92%,"$5,988.60"
steady state,Collections,steady state pants,192,34.83%,"$7,888.30"
pants,Category,steady state pants,192,34.83%,"$7,888.30"
sunny coral,Color name,sunny coral swiftly,56,8.93%,$305.90
swiftly,Collections,sunny coral swiftly,56,8.93%,$305.90
base pace,Collections,"base pace high-rise running tight 25"" *online only",14,7.14%,$166.60
running,Activity,"base pace high-rise running tight 25"" *online only",14,7.14%,$166.60
"25""",Inseam,"base pace high-rise running tight 25"" *online only",14,7.14%,$166.60
Swiftly,Collections,Swiftly Tech Relaxed-Fit Polo Shirt,85,12.20%,$630.00
swiftly,Collections,swiftly tee shirt,71,5.80%,$340.00
